id,Name,Symbol
0,Bitcoin,BTC
1,Ethereum,ETH
2,Tether,USDT
3,BNB,BNB
4,Solana,SOL
5,USDC,USDC
6,XRP,XRP
7,Toncoin,TON
8,Dogecoin,DOGE
9,Cardano,ADA
10,Avalanche,AVAX
11,Shiba Inu,SHIB
12,TRON,TRX
13,Bitcoin Cash,BCH
14,Polkadot,DOT
15,Chainlink,LINK
16,Polygon,MATIC
17,Litecoin,LTC
18,Internet Computer,ICP
19,NEAR Protocol,NEAR
20,UNUS SED LEO,LEO
21,Dai,DAI
22,Uniswap,UNI
23,First Digital USD,FDUSD
24,Aptos,APT
25,Ethereum Classic,ETC
26,Stacks,STX
27,Mantle,MNT
28,Bittensor,TAO
29,Cronos,CRO
30,Cosmos,ATOM
31,Filecoin,FIL
32,OKB,OKB
33,Stellar,XLM
34,Immutable,IMX
35,Render,RNDR
36,VeChain,VET
37,Arbitrum,ARB
38,Hedera,HBAR
39,Kaspa,KAS
40,dogwifhat,WIF
41,Maker,MKR
42,Injective,INJ
43,The Graph,GRT
44,Optimism,OP
45,Monero,XMR
46,Pepe,PEPE
47,Theta Network,THETA
48,Fantom,FTM
49,Celestia,TIA
